#Data Point Listing of File C:\Documents and #Settings\NMR\Desktop\FPraktikum\2021\17122021\mess_1_45.6mhz.tnt
#Starting Point:	1	Ending Point:	1024
#Real	Imag	kHz
-15231.190	-8382.727	-478.516
-11277.250	21614.957	-480.957
-377.380	-32156.258	-483.398
-5091.479	5952.683	-485.840
8287.135	9641.645	-488.281
-267.679	-15003.074	-490.723
-21339.674	-4636.925	-493.164
29029.719	9618.744	-495.605
-28043.629	-20123.926	-498.047
-9948.980	5755.501	-500.488
-17429.150	-45794.598	-502.930
19988.014	-6665.972	-505.371
-17276.277	-23655.313	-507.813
-28635.070	11716.855	-510.254
-4606.787	-8905.852	-512.695
-28325.764	-23560.965	-515.137
-24.579	11079.881	-517.578
4784.107	-5331.257	-520.020
6182.923	-7677.255	-522.461
-15470.064	-20713.006	-524.902
13688.277	35.077	-527.344
-16007.192	9626.902	-529.785
-8871.504	-2246.970	-532.227
-12213.664	-10482.639	-534.668
12838.373	12402.651	-537.109
-20977.297	8637.432	-539.551
4871.881	-8338.422	-541.992
1175.586	-21946.982	-544.434
-46457.492	38347.559	-546.875
18198.908	-11697.960	-549.316
6388.620	-14129.053	-551.758
-14027.860	2991.191	-554.199
-16645.098	-13409.709	-556.641
-23015.578	-9224.930	-559.082
12203.570	-8732.715	-561.523
5248.318	-10611.792	-563.965
-15038.156	-6993.997	-566.406
-8619.415	-30774.027	-568.848
2654.653	-28346.295	-571.289
-19514.598	-3990.345	-573.730
-19949.918	-16345.448	-576.172
11970.298	5418.326	-578.613
10336.859	101.329	-581.055
-3311.368	24828.609	-583.496
-8572.938	-3689.152	-585.938
-4447.911	-20290.730	-588.379
-5164.152	-4998.529	-590.820
10931.800	-10444.350	-593.262
-490.305	11566.667	-595.703
-8090.050	-18773.781	-598.145
-5966.115	2102.354	-600.586
3754.001	-1695.670	-603.027
21295.936	-11227.243	-605.469
-9388.882	-3906.696	-607.910
-8420.286	-3731.190	-610.352
27069.559	10467.307	-612.793
10532.752	-10942.126	-615.234
-375.767	-3893.672	-617.676
-8208.280	6443.752	-620.117
-4717.572	1421.917	-622.559
-34538.531	-15538.719	-625.000
-15760.220	-3275.345	-627.441
-12004.986	-10277.321	-629.883
-8246.264	-21607.473	-632.324
2762.712	-31852.520	-634.766
11421.202	5697.752	-637.207
-9889.345	23370.316	-639.648
-3701.511	-7318.524	-642.090
7800.588	-14880.814	-644.531
-10949.166	-3446.827	-646.973
11100.127	-14465.676	-649.414
-4610.933	16437.863	-651.855
-22652.596	5204.362	-654.297
-26836.789	-2905.839	-656.738
-15650.760	-6288.863	-659.180
11793.508	1104.848	-661.621
-7902.908	1636.060	-664.063
-15359.304	997.611	-666.504
7652.170	-14216.808	-668.945
-9892.658	-13644.880	-671.387
-21661.730	-15845.586	-673.828
-7810.229	21022.004	-676.270
-5387.457	1119.087	-678.711
2495.489	-7161.238	-681.152
10146.062	-2159.446	-683.594
-22438.783	3321.820	-686.035
-5222.622	4287.105	-688.477
-14621.393	-10706.417	-690.918
18442.162	-1078.345	-693.359
874.392	-2354.693	-695.801
-22139.670	9690.891	-698.242
-9213.097	21873.600	-700.684
4886.930	15069.772	-703.125
8165.549	-12631.438	-705.566
4803.466	2974.721	-708.008
9347.932	25746.160	-710.449
1292.771	-7739.665	-712.891
-7749.828	-8215.605	-715.332
-27111.336	8975.407	-717.773
461.741	13394.304	-720.215
-3269.882	243.691	-722.656
-11293.880	3184.996	-725.098
8827.759	-5884.141	-727.539
-4650.474	13989.508	-729.980
-14002.938	2372.872	-732.422
-26165.164	3465.510	-734.863
1814.677	21528.836	-737.305
8970.267	28242.855	-739.746
-4413.847	-1258.475	-742.188
3155.892	-1620.126	-744.629
-10827.498	12230.256	-747.070
-16124.221	-6541.113	-749.512
-6922.991	7242.724	-751.953
-16710.781	3148.523	-754.395
2791.525	-5531.449	-756.836
11279.197	2758.825	-759.277
-7368.076	12491.024	-761.719
13734.902	4422.509	-764.160
-18129.479	5180.049	-766.602
-19823.211	19703.605	-769.043
-7013.700	-611.250	-771.484
-10083.980	-4828.650	-773.926
-14211.876	-18875.086	-776.367
541.439	-5562.515	-778.809
-20146.484	-11393.617	-781.250
8046.472	-1455.352	-783.691
-5079.275	-1685.354	-786.133
2951.477	14422.743	-788.574
2647.747	-10221.729	-791.016
-3462.721	-16230.973	-793.457
-10176.048	-8103.634	-795.898
9630.831	-16954.779	-798.340
14966.489	26637.707	-800.781
-5418.330	10138.077	-803.223
16975.426	-7990.422	-805.664
-2448.389	787.122	-808.105
10166.150	-11573.894	-810.547
7149.661	-4988.386	-812.988
9355.061	-5133.606	-815.430
-14556.084	-3560.613	-817.871
-13880.958	2434.046	-820.313
-12392.658	-17054.703	-822.754
3076.244	-12458.587	-825.195
-3654.042	26722.684	-827.637
-2368.285	13802.467	-830.078
-1088.811	5765.646	-832.520
-10815.137	-11905.381	-834.961
-17170.209	14842.823	-837.402
8889.681	-2050.708	-839.844
-8220.599	-390.177	-842.285
733.134	-4827.943	-844.727
-2845.493	15338.939	-847.168
-4922.500	-17331.326	-849.609
-14822.160	-7666.881	-852.051
-6960.012	-2372.159	-854.492
-1213.409	645.464	-856.934
-3648.668	120.620	-859.375
35559.441	21837.084	-861.816
9110.629	14130.123	-864.258
-70.789	-9702.311	-866.699
-6753.310	6207.010	-869.141
2837.493	789.599	-871.582
-8506.574	-9989.295	-874.023
-19906.684	4610.512	-876.465
11010.452	-19290.922	-878.906
5414.848	-10023.513	-881.348
